Title,Brand,user_url,Type,Price,ItemStatus,NbFavourite,Iduser,URL,photo_url,currency,NbEvalUser,UserRating,Description
The North Face Tshirt,The North Face,https://www.vinted.fr/member/244388876-ernesto069,T-shirts,5.0,4,0,244388876,https://www.vinted.fr/items/6172736800-the-north-face-tshirt,https://images1.vinted.net/t/03_01f31_HQp4sFQjyL3fzh6S4G9g2aMF/f800/1745001951.jpeg?s=30a47851e9f4bb2db767b7f499b5e9592c8ea15d,EUR,2,5,"Größe M fällt aber aus wie Xs-S
Guter Zustand 
Nicht direkt von The North Face gekauft!!"
North Face Shirt XL,The North Face,https://www.vinted.fr/member/142961301-geinetix,T-shirts,7.0,3,3,142961301,https://www.vinted.fr/items/6173151355-north-face-shirt-xl,https://images1.vinted.net/t/03_00355_orz8aCSP5dyiUQF5ifPLX3Gk/f800/1745007370.jpeg?s=431d399ffaf99043f92be949172b062d46edf090,EUR,29,4.7,"North Face Shirt in grau. Sehr guter Zustand!

Bei Fragen gerne melden!

#northface #streetwear"
TNF T-Shirt,The North Face,https://www.vinted.fr/member/214697597-thedave13737373,T-shirts,7.8,4,1,214697597,https://www.vinted.fr/items/6172099059-tnf-t-shirt,https://images1.vinted.net/t/04_01223_aDiBwet5vizqnKmx8LHwGvST/f800/1744995514.jpeg?s=f579abaab139d328fc1f745eebf97e546886d137,EUR,18,5,Wenig getragene
The North Face Tshirt - TNF,The North Face,https://www.vinted.fr/member/160045987-alothmanahmad,T-shirts,8.0,4,1,160045987,https://www.vinted.fr/items/6172491426-the-north-face-tshirt-tnf,https://images1.vinted.net/t/04_00746_YKU54RugAhyxkwzvHjxv8AVW/f800/1744999256.jpeg?s=638013ebd19601c4383dcb61a60c00d44842a03a,EUR,72,4.8,"North
The north face tshirt
It is used, it has signs of this with no damage
Black color"
T-Shirt M The north face,The North Face,https://www.vinted.fr/member/256786009-alexandrageywitz,T-shirts,2.0,Satisfactory,0,256786009,https://www.vinted.fr/items/6168747246-t-shirt-m-the-north-face,https://images1.vinted.net/t/04_00570_rnH3bmaSebqgPZp2HmoYx5j1/f800/1744967705.jpeg?s=d050f1230f5e309ace85c9b30c09e7a751383108,EUR,9,5,No description
The North Face TShirt Schwarz L,The North Face,https://www.vinted.fr/member/191812606-t-jay11,T-shirts,10.0,3,0,191812606,https://www.vinted.fr/items/6172866466-the-north-face-tshirt-schwarz-l,https://images1.vinted.net/t/04_018d4_ZsJv4RowVdCQQn997JfxegM6/f800/1745003497.jpeg?s=213a77b74e58108c14fc3b554ba45fcd0f0bec1c,EUR,2,5,No description
T-Shirt von The North Face Gr L,The North Face,https://www.vinted.fr/member/50838693-manitu1301330,T-shirts,15.0,3,4,50838693,https://www.vinted.fr/items/6162855422-t-shirt-von-the-north-face-gr-l,https://images1.vinted.net/t/04_00dc0_oMtpuGrbE6L4w5ATbuRvKU61/f800/1744871508.jpeg?s=6028be24a2a68eb23c93c5c78f2f152dcbd99bcb,EUR,23,4.7,No description
Longsleeve,The North Face,https://www.vinted.fr/member/116952397-maxi,T-shirts,20.0,3,1,116952397,https://www.vinted.fr/items/6173494221-longsleeve,https://images1.vinted.net/t/02_01eac_Xesaj9GJwzJu6bGW9JksQJ3x/f800/1745015608.jpeg?s=eec392af40c6328871fa3106cbf8b30227bde46d,EUR,2,5,No description
The north face langarm Oberteil,The North Face,https://www.vinted.fr/member/70625781-thirdclothes,T-shirts,13.0,3,0,70625781,https://www.vinted.fr/items/6171010290-the-north-face-langarm-oberteil,https://images1.vinted.net/t/04_00b89_754SES8t1vduhABEeaNr8LzK/f800/1744986737.jpeg?s=1721ca3293832206f5fc039c5c3b3dfb9c159387,EUR,16,5,No description
The North Face Shirt Gr. XS,The North Face,https://www.vinted.fr/member/45671322-ellapa,T-shirts,18.0,3,1,45671322,https://www.vinted.fr/items/6172946105-the-north-face-shirt-gr-xs,https://images1.vinted.net/t/04_01130_XTnfv1r5uoFY4PEtqqHXbSy8/f800/1745004507.jpeg?s=67a7fe8179f05d508496e3ef8c2058cc46934832,EUR,70,5,No description
North Face Tshirt,The North Face,https://www.vinted.fr/member/95900730-alexandra20025,T-shirts,15.0,3,0,95900730,https://www.vinted.fr/items/6170573550-north-face-tshirt,https://images1.vinted.net/t/01_022f0_bwR5k9rfu7ateGWptQYSYB74/f800/1744983281.jpeg?s=5a4a7e63759439a29a39afc01252c57ab1aed795,EUR,4,3,No description
The North Face Tshirt,The North Face,https://www.vinted.fr/member/206191202-xkathiamour,T-shirts,15.0,3,2,206191202,https://www.vinted.fr/items/6172222274-the-north-face-tshirt,https://images1.vinted.net/t/04_022fd_U8Gbkv4da4vkrLup9wZUsujX/f800/1744996622.jpeg?s=d31fde81f1e7a9537d7521feae08707ba12ecbff,EUR,14,5,No description
The North Face t-shirt,The North Face,https://www.vinted.fr/member/241180666-aniibr04,T-shirts,18.0,3,1,241180666,https://www.vinted.fr/items/6171311346-the-north-face-t-shirt,https://images1.vinted.net/t/01_015bc_wAeyCcVXFbjhQHxMKeEGNKa8/f800/1744989103.jpeg?s=a46a3a81c1fcd26c2805bcbeb4946a9a3ccfc18a,EUR,5,5,No description
T-shirt The North Face,The North Face,https://www.vinted.fr/member/51789843-danielooo98,T-shirts,15.0,3,1,51789843,https://www.vinted.fr/items/6169393159-t-shirt-the-north-face,https://images1.vinted.net/t/03_01144_FbVCYyQKf9RwyyXJcWQKdfrX/f800/1744973469.jpeg?s=9877cd3ab6f60d102a293e212ca1ccc22f0f8cda,EUR,11,4.9,No description
The North Face T-Shirt neonprint,The North Face,https://www.vinted.fr/member/51829729-nikolev,T-shirts,10.0,4,1,51829729,https://www.vinted.fr/items/5234569014-the-north-face-t-shirt-neonprint,https://images1.vinted.net/t/02_01e44_QpJAQ57b8rhCPMqJ6pSwYNTA/f800/1729193906.jpeg?s=1e3e24522475558f4e0ee3936359fa592ff22df5,EUR,31,5,No description
The North Face Polo Hemd/T-Shirt Größe :M dunkelblau wie neu,The North Face,https://www.vinted.fr/member/254079660-fashofit,T-shirts,15.0,3,3,254079660,https://www.vinted.fr/items/6166916793-the-north-face-polo-hemdt-shirt-grosse-m-dunkelblau-wie-neu,https://images1.vinted.net/t/04_00e0b_etStYRUBD8FL9eXsUdLj43w5/f800/1744913773.jpeg?s=b8c3ac4fb455008bee9571c506d58a74a559ade7,EUR,26,5,No description
The North Face T-Shirt,The North Face,https://www.vinted.fr/member/249989681-maxus420,T-shirts,18.0,4,3,249989681,https://www.vinted.fr/items/6167641812-the-north-face-t-shirt,https://images1.vinted.net/t/04_001d3_YcWeqLseZ8WZhUSb8Q5oSRHe/f800/1744923508.jpeg?s=767c464dad009b2c1691f5cad68b6653ef8d68b1,EUR,14,4.1,No description
TheNorthFace T-Shirt Gr.M,The North Face,https://www.vinted.fr/member/256784985-iv408,T-shirts,6.0,4,3,256784985,https://www.vinted.fr/items/6153312697-thenorthface-t-shirt-grm,https://images1.vinted.net/t/04_0077e_Hgscow8Mc6q8khiQ9SrGR4V7/f800/1744721974.jpeg?s=3774b40b6a2ea682b7e4ac627ac095cf70913ef7,EUR,18,5,"Oft getragen. 
Bei fragen gerne anschreiben."
North Face Tshirt in Türkis,The North Face,https://www.vinted.fr/member/202592276-laracrs,T-shirts,4.0,Satisfactory,7,202592276,https://www.vinted.fr/items/6147257336-north-face-tshirt-in-turkis,https://images1.vinted.net/t/04_00c6b_RX9CNtFmDC66UrdnQQTLaPPp/f800/1744636016.jpeg?s=ab29fb5149b8923bb42036ff40e8d8e3f27001ec,EUR,5,5,"North Face Tshirt in Türkis
Zustand zufriedenstellend (hat leichte bleach Flecken)
Größe M

Bezahlung über Paypal und Vinted möglich"
T-shirt the north face,The North Face,https://www.vinted.fr/member/58369898-tamzon66,T-shirts,3.0,3,19,58369898,https://www.vinted.fr/items/6171211539-t-shirt-the-north-face,https://images1.vinted.net/t/03_01970_tsVC8WFJDLZHhR8TtamW8bPz/f800/1744988321.jpeg?s=834c8ad3638e1adc5fa04074fd4daf0531bad2df,EUR,19,4.8,Weinig gedragen
T-shirt The North Face blanc,The North Face,https://www.vinted.fr/member/101446023-arnaudkdd,T-shirts,5.0,3,11,101446023,https://www.vinted.fr/items/6172532746-t-shirt-the-north-face-blanc,https://images1.vinted.net/t/04_02554_fK51vrZELnDQSKYCFJDfvEtL/f800/1744999690.jpeg?s=ec6e3fd92097c95ae8855a0b6de4d83d75f6d5d1,EUR,26,4.8,Porté mais en très bon état. Taille correctement
The north Face orange polo Herren,The North Face,https://www.vinted.fr/member/235371518-evaasarenko,T-shirts,10.0,4,0,235371518,https://www.vinted.fr/items/6165484639-the-north-face-orange-polo-herren,https://images1.vinted.net/t/02_01934_na78fZ93KBe5i2q3uYmWcdf1/f800/1744899985.jpeg?s=d9ad71febfe63d18757cc5e9e38dd3c7cdb046b4,EUR,289,4.8,Größe XL
The North Face T-Shirt,The North Face,https://www.vinted.fr/member/48154197-kurtrimner,T-shirts,28.0,3,2,48154197,https://www.vinted.fr/items/6171029688-the-north-face-t-shirt,https://images1.vinted.net/t/04_01eac_gEUuGDZ9GDy6kb5zLPDDppGZ/f800/1744992513.jpeg?s=75df2897d96a3e9facae6a1044760568042329f2,EUR,44,5,Verkaufe ein selten getragenes TShirt von The North Face in einem sehr gutem Zustand
The North Face T-Shirt/Tee,The North Face,https://www.vinted.fr/member/263557166-dcoinnovate,T-shirts,13.0,2,1,263557166,https://www.vinted.fr/items/6170277548-the-north-face-t-shirttee,https://images1.vinted.net/t/04_00a39_45yWMtXUz8Qgy4h2eofLUws7/f800/1744980909.jpeg?s=1344ea9487218cbf081e9f64a04f86b5288ccfb6,EUR,3,5,"•	Marke: The North Face
	•	Größe: M
	•	Zustand: Sehr gut – keine Mängel ✅
	•	Farbe: Bordeauxrot/Dunkelrot
	•	Logo: Dezentes Logo in Schwarz 🖤
	•	Material: Weich & angenehm ☁️
	•	Style: Minimalistisch, sportlich & casual
	•	Versand: Möglich ✉️
	•	Bezahlung: PayPal und Vinted ✅
	•	Preis: 13€

Perfekt für Alltag, Layering oder Outdoor – bei Fragen einfach schreiben!"
North Face Shirt in weiß,The North Face,https://www.vinted.fr/member/210009872-lukas02341,T-shirts,17.0,2,77,210009872,https://www.vinted.fr/items/6161082600-north-face-shirt-in-weiss,https://images1.vinted.net/t/03_01b6c_zVDXHhxSKMt6H1gPq3gB3Tr3/f800/1744822996.jpeg?s=277b00c0619d1e93ef6cf5be68d18ae3436ae56f,EUR,14,5,"Hi, ich biete ein The North Face Basic Shirt in Weiß in Größe M zum Verkauf an.
Habe das T Shirt gekauft und bislang nicht einmal getragen, da es etwas kurz ist.
Dementsprechend befindet sich das Shirt im Orginalzustand

Keine Rücknahme, Gewährleistung oder Garantie, da Privatverkauf."
T-shirt The North Face,The North Face,https://www.vinted.fr/member/66014296-avinou11,T-shirts,5.0,4,20,66014296,https://www.vinted.fr/items/6170921273-t-shirt-the-north-face,https://images1.vinted.net/t/01_02080_MNiAFnovgNpDj8BK2mjMFVcs/f800/1744986035.jpeg?s=fa9d5eeceeac531384b2198d1f8eb01ec381d89f,EUR,41,4.8,"T-shirt north face en bon état, taille XS, bon état."
T-shirt the north face,The North Face,https://www.vinted.fr/member/19822082-melissakno,T-shirts,5.0,3,7,19822082,https://www.vinted.fr/items/6172676063-t-shirt-the-north-face,https://images1.vinted.net/t/04_023a7_Sjyum8ei6Uu6x9PjKiF9uXb9/f800/1745001263.jpeg?s=a6b4202a505f781134c4b3ddf803892e5733cc0f,EUR,137,4.7,Beau t-shirt the north face taille s adulte
Langarm Oberteil von North Face,The North Face,https://www.vinted.fr/member/190494428-meluzn,T-shirts,17.0,3,0,190494428,https://www.vinted.fr/items/6165917888-langarm-oberteil-von-north-face,https://images1.vinted.net/t/04_004f8_eeS483j5xgUSqsVJGMJytQzP/f800/1744903939.jpeg?s=9afa6dd07a301eff76bfdc58e2ca6a08231978ed,EUR,22,4.6,"Nur 1-2 mal getragen 

#thenorthface #northface #beige #creme #oberteil #langarmshirt #langarm #shirt #pullover #longsleeve"
The North Face Shirt,The North Face,https://www.vinted.fr/member/43364421-sebastianremmele,T-shirts,10.0,4,0,43364421,https://www.vinted.fr/items/6163017131-the-north-face-shirt,https://images1.vinted.net/t/04_022ca_tKJAs9AcAjJBNuL3htYp4Bw2/f800/1744875050.jpeg?s=3919744462577db3f6f11996ab30e4e5f9bee227,EUR,24,4.9,Bisschen verwaschen. Sonst keine Mängel.
The North Face,The North Face,https://www.vinted.fr/member/175295758-vadymhjj,T-shirts,15.0,3,8,175295758,https://www.vinted.fr/items/6150691249-the-north-face,https://images1.vinted.net/t/03_01a2d_Tyrfn7pG6vbAxGPHMFypGGiy/f800/1744666244.jpeg?s=b8b0d956b6cbb733b94e470439bb0982c23d1878,EUR,38,3.9,Top Zustand
The NorthFace T-Shirt in L,The North Face,https://www.vinted.fr/member/46778964-meryyuma,T-shirts,16.0,3,0,46778964,https://www.vinted.fr/items/6164829823-the-northface-t-shirt-in-l,https://images1.vinted.net/t/04_00f7e_GJv9xeN8UVUQE9QtToS3MUe7/f800/1744894034.jpeg?s=756ef5810d21c206eabc7840ec0ce3e3851d60bf,EUR,120,4.8,"Top Zustand, nur selten getragen"
Polo rossa north face,The North Face,https://www.vinted.fr/member/76169808-marekhamsik17,T-shirts,3.0,4,6,76169808,https://www.vinted.fr/items/6171452429-polo-rossa-north-face,https://images1.vinted.net/t/04_01644_59UHxV4Cbcoav4dNa7ttmusw/f800/1744990207.jpeg?s=835fd2f77e17a4509ec1cc394ec14145c9b22693,EUR,7,5,Polo unisex north face in buone condizioni
TEE shirt north face,The North Face,https://www.vinted.fr/member/252912132-jo60600,T-shirts,10.0,3,16,252912132,https://www.vinted.fr/items/6171694600-tee-shirt-north-face,https://images1.vinted.net/t/04_0143b_cyeHedUuAzWxm6NKAa4fzxco/f800/1744992126.jpeg?s=82cbe36d0d1a6ad3595ca8a3f1b351f955ef7104,EUR,24,5,No description
the north face longsleeve,The North Face,https://www.vinted.fr/member/218865361-efeha52,T-shirts,16.0,3,20,218865361,https://www.vinted.fr/items/6146912417-the-north-face-longsleeve,https://images1.vinted.net/t/01_00073_35Kzurj2jaNLM8oCZ1PjYEjE/f800/1744633259.jpeg?s=63fc982b029fdd8452fe8f95afc688edb5f8412d,EUR,31,5,No description
The North Face shirt,The North Face,https://www.vinted.fr/member/154012371-thijs3555,T-shirts,5.0,2,15,154012371,https://www.vinted.fr/items/6167254572-the-north-face-shirt,https://images1.vinted.net/t/04_00565_LUhc93qnPge9ThDLjWwowtMn/f800/1744917763.jpeg?s=bac18335938244a764b62eeb546c4b7ef37ebbc8,EUR,2,5,No description
Pull noir,The North Face,https://www.vinted.fr/member/254278592-allmaaaa13,T-shirts,10.0,3,17,254278592,https://www.vinted.fr/items/6172050619-pull-noir,https://images1.vinted.net/t/04_00478_cBdSmSiYKkidAnHDecERh4tb/f800/1744995086.jpeg?s=fadc7307c518471908d2c672e539c7e45697480f,EUR,No evaluations,No rating,No description
The North Face Skater Shirt Gr S ausgefallen,The North Face,https://www.vinted.fr/member/50830285-ebruscakes,T-shirts,10.0,3,11,50830285,https://www.vinted.fr/items/6138791557-the-north-face-skater-shirt-gr-s-ausgefallen,https://images1.vinted.net/t/03_021fa_KHE1PPBvwJ98XjPxkwruR4hp/f800/1744542274.jpeg?s=48ca617690646c4acee8deea9f0de9ece72fa324,EUR,185,4.9,No description
The North Face T-Shirt,The North Face,https://www.vinted.fr/member/254364584-hilmmi,T-shirts,27.0,2,9,254364584,https://www.vinted.fr/items/6159619744-the-north-face-t-shirt,https://images1.vinted.net/t/03_0045d_Q7YyZSNULuGcXsii43p2uMBm/f800/1744811144.jpeg?s=e8bdd3fb3af34ed41f9b8256c15670c08beac83f,EUR,9,5,No description
T-shirt The North Face,The North Face,https://www.vinted.fr/member/92996288-aures1729,T-shirts,15.0,3,8,92996288,https://www.vinted.fr/items/6171772801-t-shirt-the-north-face,https://images1.vinted.net/t/04_01789_3twn278vmEhkJD8H2HG3KKc2/f800/1744992944.jpeg?s=4e97547bac717d01fe6691d0822a6bedca149cee,EUR,156,4.9,No description
T shirt,The North Face,https://www.vinted.fr/member/41278901-natacha52000,T-shirts,2.0,Satisfactory,26,41278901,https://www.vinted.fr/items/6163118525-t-shirt,https://images1.vinted.net/t/04_014da_5g6UjxH862vHX6hw4SNTTLGA/f800/1744876654.jpeg?s=b13eaa6c397ef0f6f3e20d25caebd9bd2e474d67,EUR,67,5,No description
T-Shirt von The North Face Gr. L,The North Face,https://www.vinted.fr/member/50838693-manitu1301330,T-shirts,15.0,3,1,50838693,https://www.vinted.fr/items/6162844278-t-shirt-von-the-north-face-gr-l,https://images1.vinted.net/t/01_01e54_Jze94WKrt763DFSo8KN4xyGa/f800/1744871197.jpeg?s=04f7a1857af0f5ce6ed13a12acfe4065bfcc5db2,EUR,23,4.7,No description
T-shirt north face,The North Face,https://www.vinted.fr/member/252133284-thibaaut54,T-shirts,12.0,2,8,252133284,https://www.vinted.fr/items/6170124822-t-shirt-north-face,https://images1.vinted.net/t/02_0167f_dLHKToCVrN6EtzuZmCoM2pgs/f800/1744979658.jpeg?s=85097f7a735cd856f9485f9ede4acd41f065b37e,EUR,19,4.7,No description
tee-shirts the north face,The North Face,https://www.vinted.fr/member/174237025-licrpt,T-shirts,8.0,3,4,174237025,https://www.vinted.fr/items/6170146852-tee-shirts-the-north-face,https://images1.vinted.net/t/04_01607_DVMwJGeGPLn7gLA1MaZLeRkf/f800/1744979840.jpeg?s=a4f2ba73a1b6ca9961a33822e2ac0be145e06cd7,EUR,10,5,No description
The North Face T-Shirt Herren XL Schwarz Casual Outdoor,The North Face,https://www.vinted.fr/member/183334156-derekmuc,T-shirts,15.0,4,3,183334156,https://www.vinted.fr/items/6162824700-the-north-face-t-shirt-herren-xl-schwarz-casual-outdoor,https://images1.vinted.net/t/04_021f5_7E7cuLhrtqtr8HtUVKtyPL2x/f800/1744870553.jpeg?s=432f0c3e29e521d51625fbea2028758ea71b5db7,EUR,82,4.8,No description
Tshirt,The North Face,https://www.vinted.fr/member/265400496-kad1r14,T-shirts,8.0,3,23,265400496,https://www.vinted.fr/items/6170459901-tshirt,https://images1.vinted.net/t/02_0118b_cB1LVqXQemaVFc9pGYYuoJtK/f800/1744982374.jpeg?s=cd2d6d7083ee3c619f70e630911f85df06c5a310,EUR,No evaluations,No rating,No description
T-shirt The North Face,The North Face,https://www.vinted.fr/member/132877113-giovannidnn,T-shirts,10.0,3,46,132877113,https://www.vinted.fr/items/6171924725-t-shirt-the-north-face,https://images1.vinted.net/t/04_0183a_i9iuFXSyAgFrgEtQ6k4jXjtn/f800/1744994013.jpeg?s=09fdc97ec34d1717a2701a8c8cc0422d6824a4e8,EUR,13,5,No description
t-shirt The North Face,The North Face,https://www.vinted.fr/member/18465421-juliette64210,T-shirts,5.0,4,13,18465421,https://www.vinted.fr/items/6164005386-t-shirt-the-north-face,https://images1.vinted.net/t/01_016b1_53qJnb6uFF2CBCzMAdH95dqr/f800/1744886126.jpeg?s=eb307a24419a4be0f140d54304fdd9329ac27dfa,EUR,58,4.3,No description
Tee shirt,The North Face,https://www.vinted.fr/member/94684134-koraly61,T-shirts,4.0,3,3,94684134,https://www.vinted.fr/items/6168941693-tee-shirt,https://images1.vinted.net/t/04_0004e_HTWVLrfKx4CvVxc1cSdLZB3x/f800/1744969490.jpeg?s=db902c5dd1d2c218f82a1c214b02c3289d5e79a0,EUR,No evaluations,No rating,No description
Black North Face Tshirt,The North Face,https://www.vinted.fr/member/261278930-cormacfullam,T-shirts,5.0,4,4,261278930,https://www.vinted.fr/items/6170659993-black-north-face-tshirt,https://images1.vinted.net/t/04_01366_cj5FAtRKUfektth9p34PDRf1/f800/1744983968.jpeg?s=c9de430bf04a12684b51768de3847dae1d11d9c2,EUR,No evaluations,No rating,No description
The North Face T-Shirt schwarz Hemd Nikki Tank Frühling Sommer XS,The North Face,https://www.vinted.fr/member/79841081-baulinski,T-shirts,10.0,2,7,79841081,https://www.vinted.fr/items/6158256943-the-north-face-t-shirt-schwarz-hemd-nikki-tank-fruhling-sommer-xs,https://images1.vinted.net/t/04_01ce0_i9tYEw39Bttwfn4G94irykUu/f800/1744799325.jpeg?s=6c4e9e3a4498e671dd7911ba188b1dd236f739fb,EUR,No evaluations,No rating,No description
The North Face T-shirt,The North Face,https://www.vinted.fr/member/241994439-jackberry249,T-shirts,5.0,4,5,241994439,https://www.vinted.fr/items/6171061721-the-north-face-t-shirt,https://images1.vinted.net/t/04_00d70_zgdJtnkY75eY3JH2rB8TXiMg/f800/1744987146.jpeg?s=c7635f9971fffe42aec8710082737b0239bc6b63,EUR,No evaluations,No rating,No description
Groen shirt,The North Face,https://www.vinted.fr/member/45303474-mpeters2009,T-shirts,7.5,3,4,45303474,https://www.vinted.fr/items/6172722677-groen-shirt,https://images1.vinted.net/t/04_0211f_wSMrBuTyH2aZgbUBKAX9fTUf/f800/1745001791.jpeg?s=226c13c213b5db65c4c2c0464532813f61002401,EUR,No evaluations,No rating,No description
Tihisort,The North Face,https://www.vinted.fr/member/173569222-abigail240215,T-shirts,6.0,3,5,173569222,https://www.vinted.fr/items/6168781425-tihisort,https://images1.vinted.net/t/04_01909_2JVB378dDebAPYWH6UNJSmKj/f800/1744968024.jpeg?s=9a037a84adb3821e1a1f3188cde17a85575284fd,EUR,1113,4.9,Ottimo
The North Face T-Shirt,The North Face,https://www.vinted.fr/member/252718867-headnutbanger,T-shirts,14.0,3,1,252718867,https://www.vinted.fr/items/6162486193-the-north-face-t-shirt,https://images1.vinted.net/t/01_00825_yUhiTi77tGEKGHAPnWnCgybw/f800/1744838979.jpeg?s=7401a2e2c996131579ec800f836d747caad64ffe,EUR,99,5,"The North Face T-Shirt 

Zustand 8/10

Größe L 

Bei Fragen gerne melden 😊 Preis ist verhandelbar 😉"
Basic The North Face T-Shirt,The North Face,https://www.vinted.fr/member/134803927-yoguiclothes,T-shirts,8.0,3,8,134803927,https://www.vinted.fr/items/6169197332-basic-the-north-face-t-shirt,https://images1.vinted.net/t/04_023b5_RSiD8PsYuMwZacseUrvBw5Zx/f800/1744971748.jpeg?s=02923dd22edf46277c1b7e1f91bb0d07d18d1d83,EUR,147,4.8,"En buen estado 
Precio negociable 
Envío 24H
Preguntar cualquier duda"
TEE shirt manches longues Thé North face,The North Face,https://www.vinted.fr/member/15117574-rosepia,T-shirts,8.0,2,8,15117574,https://www.vinted.fr/items/6164275266-tee-shirt-manches-longues-the-north-face,https://images1.vinted.net/t/02_00c1b_nwfYdQCSY67vN73CKXkukqEp/f800/1744888802.jpeg?s=65fae5c49676509850b3c3d009a998cbc7b80d03,EUR,140,5,Noir. Non  porté. Dessin dans le dos.
T-shirt noir the North face,The North Face,https://www.vinted.fr/member/54353066-hanane8681,T-shirts,6.8,4,2,54353066,https://www.vinted.fr/items/6173315689-t-shirt-noir-the-north-face,https://images1.vinted.net/t/04_01927_vrr6gwdnG3kRdAsAAGizfri8/f800/1745010249.jpeg?s=dc636f28d6b5fe543bb41d424ee9050c96a2ae88,EUR,103,4.9,Bon état
